it global_time dt rho m1 m2 m3 e b1 b2 b3 c1 c2 c3 c4 c5 c6 n1 n2 n3 n4 n5 n6 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
       1  7.23913106E-03  5.60952590E-03   9.00000000E+05 -2.64697796E-23 -8.52656704E-14  5.60828455E-22  6.03450012E+05 -1.69406589E-21  0.00000000E+00 -2.48154184E-24   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  9.91E+04  2.00E+00  2.76E+00  1.48E-02
       4  2.56973139E-02  7.23913054E-03   9.00000000E+05 -1.42108554E-14 -8.88892909E-14  9.06589951E-21  6.03450042E+05 -9.48676901E-20  6.77626358E-21  2.60755847E-15   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.71E+05  2.00E+00  1.24E+00  6.65E-03
       6  3.85459709E-02  7.23913029E-03   9.00000000E+05 -2.48689960E-14 -4.97893827E-14  1.68612496E-20  6.03450063E+05 -3.86247024E-19  1.01643954E-20  2.30120698E-14   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.83E+05  2.00E+00  1.16E+00  6.18E-03
       8  5.13946278E-02  7.23913004E-03   9.00000000E+05 -2.48689953E-14 -1.52866868E-13  4.93131994E-20  6.03450083E+05  4.20805968E-18 -1.35525272E-20  8.23682905E-14   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.85E+05  2.00E+00  1.14E+00  6.11E-03
      10  6.42432848E-02  7.23912979E-03   9.00000000E+05 -4.61852793E-14 -4.05197577E-13  7.66564817E-20  6.03450104E+05  2.11148373E-17 -1.35525272E-20  1.77758384E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.88E+05  2.00E+00  1.13E+00  6.03E-03
      12  7.70919418E-02  7.23912954E-03   9.00000000E+05 -3.19744214E-14 -5.11904755E-13  2.73697521E-20  6.03450125E+05  6.19486016E-17 -2.71050543E-20  2.89007019E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.78E+05  2.00E+00  1.19E+00  6.37E-03
      14  8.99405987E-02  7.23912930E-03   9.00000000E+05  7.46069871E-14 -2.94575128E-13  1.23666810E-19  6.03450146E+05  1.61681649E-16 -7.45388994E-20  4.23431743E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.81E+05  2.00E+00  1.17E+00  6.24E-03
      16  1.02789256E-01  7.23912905E-03   9.00000000E+05  8.52651384E-14 -3.16240090E-13  7.54918114E-20  6.03450167E+05  3.20435952E-16 -5.21772296E-19  5.82369159E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.80E+05  2.00E+00  1.18E+00  6.27E-03
      18  1.15637913E-01  7.23912880E-03   9.00000000E+05  1.31450407E-13 -1.47382107E-14  1.43042689E-19  6.03450188E+05  4.70055852E-16 -1.98544523E-18  7.61880082E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.80E+05  2.00E+00  1.18E+00  6.28E-03
      20  1.28486570E-01  7.23912854E-03   9.00000000E+05  1.20792291E-13 -1.36031811E-13  1.82959117E-19  6.03450208E+05  5.38184406E-16 -3.95733793E-18  9.65105451E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.81E+05  2.00E+00  1.18E+00  6.25E-03
      22  1.41335227E-01  7.23912828E-03   9.00000000E+05  1.52766697E-13  3.40769080E-14  2.12499391E-19  6.03450229E+05  5.18872055E-16 -6.17995238E-18  1.19272959E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.84E+05  2.00E+00  1.15E+00  6.13E-03
      24  1.54183884E-01  7.23912802E-03   9.00000000E+05  1.56319414E-13  5.29784550E-15  2.86932411E-19  6.03450250E+05  4.69649276E-16 -8.82269518E-18  1.43936589E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.75E+05  2.00E+00  1.21E+00  6.44E-03
      26  1.67032540E-01  7.23912776E-03   9.00000000E+05  1.10134115E-13  1.94268213E-13  4.72220868E-19  6.03450271E+05  5.19712311E-16 -1.15467531E-17  1.69779701E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.69E+05  2.00E+00  1.26E+00  6.68E-03
      28  1.79881197E-01  7.23912751E-03   9.00000000E+05  4.26325569E-14  5.61564684E-14  5.31936691E-19  6.03450292E+05  7.24301261E-16 -1.44334414E-17  1.94756689E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.83E+05  2.00E+00  1.16E+00  6.15E-03
      30  1.92729854E-01  7.23912725E-03   9.00000000E+05 -1.13686808E-13  2.19338436E-14  2.68932961E-19  6.03450313E+05  1.03172679E-15 -1.87160400E-17  2.17470410E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.81E+05  2.00E+00  1.17E+00  6.23E-03
      32  2.05578511E-01  7.23912700E-03   9.00000000E+05 -1.27897712E-13  1.06095688E-13  3.59459607E-19  6.03450333E+05  1.32297060E-15 -2.32696891E-17  2.36447268E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.82E+05  2.00E+00  1.17E+00  6.19E-03
      34  2.18427168E-01  7.23912674E-03   9.00000000E+05 -8.88178513E-14 -1.11299858E-14  3.05143619E-19  6.03450354E+05  1.49720189E-15 -2.84603070E-17  2.51424826E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.79E+05  2.00E+00  1.18E+00  6.27E-03
      36  2.31275825E-01  7.23912649E-03   9.00000000E+05 -4.97380025E-14 -9.63742974E-14  3.41460157E-19  6.03450375E+05  1.45188223E-15 -3.39490805E-17  2.61420181E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.69E+05  2.00E+00  1.26E+00  6.66E-03
      38  2.44124482E-01  7.23912624E-03   9.00000000E+05 -7.10542837E-14 -2.34784414E-13  4.23410595E-19  6.03450396E+05  1.00651909E-15 -4.00883753E-17  2.65388870E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.79E+05  2.00E+00  1.19E+00  6.28E-03
      40  2.56973139E-01  7.23912599E-03   9.00000000E+05 -7.10555272E-15 -2.84140766E-13  2.95508619E-19  6.03450417E+05  2.01282133E-16 -4.71492420E-17  2.63648859E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.72E+05  2.00E+00  1.23E+00  6.51E-03
      42  2.69821796E-01  7.23912575E-03   9.00000000E+05 -1.06581339E-13 -3.15872328E-13  3.32142794E-19  6.03450438E+05 -5.82379197E-16 -5.49554976E-17  2.57003940E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.83E+05  2.00E+00  1.16E+00  6.13E-03
      44  2.82670453E-01  7.23912550E-03   9.00000000E+05 -3.44613161E-13 -2.18811080E-13  5.03349329E-19  6.03450458E+05 -1.10697042E-15 -6.34664847E-17  2.45102503E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.85E+05  2.00E+00  1.14E+00  6.04E-03
      46  2.95519110E-01  7.23912526E-03   9.00000000E+05 -3.90798454E-14 -4.91745533E-13  5.54700701E-19  6.03450479E+05 -1.23683073E-15 -7.43220589E-17  2.28047606E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.59E+05  2.00E+00  1.33E+00  7.04E-03
      48  3.08367767E-01  7.23912502E-03   9.00000000E+05 -6.39489055E-14 -5.25468558E-13  5.41677570E-19  6.03450500E+05 -1.00668172E-15 -8.72647224E-17  2.06473350E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.33E+05  2.00E+00  1.59E+00  8.39E-03
      50  3.21216424E-01  7.23912477E-03   9.00000000E+05 -1.03028846E-13 -5.69544412E-13  3.55753838E-19  6.03450521E+05 -5.75548723E-16 -1.00803697E-16  1.81332314E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.36E+05  2.00E+00  1.56E+00  8.22E-03
      52  3.34065081E-01  7.23912453E-03   9.00000000E+05 -1.10134112E-13 -4.26603197E-13  4.17799001E-19  6.03450542E+05 -1.04435774E-16 -1.13908991E-16  1.52573546E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.64E+05  2.00E+00  1.29E+00  6.81E-03
      54  3.46913738E-01  7.23912429E-03   9.00000000E+05 -1.31450247E-13 -4.96463981E-13  4.45327572E-19  6.03450563E+05  2.81323359E-16 -1.26472183E-16  1.18790396E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.71E+05  2.00E+00  1.24E+00  6.53E-03
