it global_time dt rho m1 m2 m3 e b1 b2 b3 c1 c2 c3 c4 c5 c6 n1 n2 n3 n4 n5 n6 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
       1  7.23915011E-03  5.60950685E-03   9.00000000E+05  0.00000000E+00  4.23516474E-22  6.23694182E-22  6.03450000E+05  0.00000000E+00  8.47032947E-22 -1.15363261E-23   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  6.77E+04  2.00E+00  4.05E+00  2.17E-02
       4  2.56973139E-02  7.23915005E-03   9.00000000E+05  2.11758237E-22  3.38813179E-21 -5.92261319E-21  6.03450000E+05  1.35525272E-20 -6.77626358E-21  2.59496565E-15   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.52E+05  2.00E+00  1.40E+00  7.49E-03
       6  3.85459709E-02  7.23915004E-03   9.00000000E+05  1.48230766E-21 -6.77626358E-21 -1.06937910E-20  6.03450000E+05 -6.77626358E-21 -6.77626358E-21  2.29010383E-14   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.90E+05  2.00E+00  1.12E+00  5.98E-03
       8  5.13946278E-02  7.23915003E-03   9.00000000E+05  4.23516474E-22  7.45388994E-20 -2.55168675E-20  6.03450000E+05  0.00000000E+00 -1.01643954E-20  8.19694756E-14   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.86E+05  2.00E+00  1.14E+00  6.10E-03
      10  6.42432848E-02  7.23915002E-03   9.00000000E+05 -1.27054942E-21  6.77626358E-21 -8.15269212E-21  6.03450000E+05 -1.35525272E-20 -6.77626358E-21  1.76894109E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.69E+05  2.00E+00  1.26E+00  6.70E-03
      12  7.70919418E-02  7.23915001E-03   9.00000000E+05 -6.35274710E-22  5.42101086E-20  7.14684049E-21  6.03450000E+05  4.06575815E-20  1.35525272E-20  2.87590412E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.77E+05  2.00E+00  1.20E+00  6.39E-03
      14  8.99405987E-02  7.23915000E-03   9.00000000E+05 -2.22346149E-21 -2.03287907E-20  1.01432195E-19  6.03450000E+05 -2.71050543E-20  1.35525272E-20  4.21334736E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.72E+05  2.00E+00  1.23E+00  6.56E-03
      16  1.02789256E-01  7.23914999E-03   9.00000000E+05  2.85873620E-21  8.13151629E-20  1.03232140E-19  6.03450000E+05  1.35525272E-19 -1.35525272E-20  5.79454913E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.91E+05  2.00E+00  1.11E+00  5.92E-03
      18  1.15637913E-01  7.23914999E-03   9.00000000E+05 -8.47032947E-22 -2.71050543E-20  5.34689548E-20  6.03450000E+05  6.77626358E-20  3.38813179E-20  7.58040177E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.88E+05  2.00E+00  1.13E+00  6.00E-03
      20  1.28486570E-01  7.23914998E-03   9.00000000E+05  9.52912066E-21  8.13151629E-20 -5.29395592E-21  6.03450000E+05  4.06575815E-20  1.35525272E-20  9.60209663E-13   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.91E+05  2.00E+00  1.11E+00  5.89E-03
